Nr,TID,PID,x [nm],y [nm],t [sec],I [val],Len [nm],D2S [nm],D2R [nm],D2P [nm],v [nm/sec],α [deg],Δα [deg]
31,4,1,120166.08,40407.96,0,240,0,0,NA,NA,NA,NA,NA
32,4,2,120694.98,40619.52,6,220,569.643,569.643,NA,569.643,94.94,21.801,NA
33,4,3,121223.88,40725.3,12,203,1109.017,1104.376,NA,539.374,89.896,11.31,-10.491
34,4,4,120906.54,40936.86,18,215,1490.412,909.954,NA,381.395,63.566,146.31,135
35,4,5,120800.76,41042.64,24,315,1640.008,897.573,NA,149.596,24.933,135,-11.31
36,4,6,121223.88,41359.98,30,216,2168.908,1423.124,NA,528.9,88.15,36.87,-98.13
37,4,7,121858.56,41042.64,36,269,2878.502,1807.569,NA,709.594,118.266,-26.565,-63.435
38,4,8,122175.9,41042.64,42,219,3195.842,2107.652,NA,317.34,52.89,0,26.565
39,4,9,122704.8,40831.08,48,256,3765.484,2573.738,NA,569.643,94.94,-21.801,-21.801
40,4,10,122810.58,40619.52,53,235,4002.016,2652.949,NA,236.531,47.306,-63.435,-41.634
41,5,1,135504.18,48447.24,0,236,0,0,NA,NA,NA,NA,NA
42,5,2,135398.4,48447.24,6,247,105.78,105.78,NA,105.78,17.63,180,NA
43,5,3,135081.06,48553.02,12,262,440.286,436.142,NA,334.506,55.751,161.565,-18.435
44,5,4,134975.28,48658.8,18,235,589.881,569.643,NA,149.596,24.933,135,-26.565
45,5,5,134975.28,48658.8,24,311,589.881,569.643,NA,0,0,0,-135
46,5,6,134975.28,48764.58,30,358,695.661,616.798,NA,105.78,17.63,90,90
47,5,7,134869.5,49081.92,36,312,1030.167,897.573,NA,334.506,55.751,108.435,18.435
48,5,8,134657.94,49187.7,42,294,1266.698,1124.457,NA,236.531,39.422,153.435,45
49,5,9,134763.72,49399.26,48,352,1503.23,1206.078,NA,236.531,39.422,63.435,-90
50,5,10,134869.5,49716.6,53,290,1837.735,1419.188,NA,334.506,66.901,71.565,8.13
51,6,1,141110.52,39138.6,0,236,0,0,NA,NA,NA,NA,NA
52,6,2,140687.4,39032.82,6,328,436.142,436.142,NA,436.142,72.69,-165.964,NA
53,6,3,140475.84,39455.94,12,301,909.205,709.594,NA,473.063,78.844,116.565,-77.471
54,6,4,140264.28,39773.28,18,310,1290.6,1057.8,NA,381.395,63.566,123.69,7.125
55,6,5,139841.16,39879.06,24,302,1726.742,1469.543,NA,436.142,72.69,165.964,42.274
56,6,6,139312.26,40090.62,30,288,2296.385,2034.719,NA,569.643,94.94,158.199,-7.765
57,6,7,138994.92,40090.62,36,333,2613.725,2319.937,NA,317.34,52.89,180,21.801
58,6,8,138783.36,40196.4,42,331,2850.256,2556.289,NA,236.531,39.422,153.435,-26.565
59,6,9,138254.46,40407.96,48,300,3419.899,3125.437,NA,569.643,94.94,158.199,4.764
60,6,10,137937.12,40513.74,53,306,3754.404,3458.537,NA,334.506,66.901,161.565,3.366
61,7,1,44639.16,34590.06,0,414,0,0,NA,NA,NA,NA,NA
62,7,2,44744.94,34061.16,6,368,539.374,539.374,NA,539.374,89.896,-78.69,NA
63,7,3,44956.5,33743.82,12,372,920.769,903.785,NA,381.395,63.566,-56.31,22.38
64,7,4,45062.28,33214.92,18,313,1460.144,1438.764,NA,539.374,89.896,-78.69,-22.38
65,7,5,44956.5,32897.58,24,336,1794.65,1721.974,NA,334.506,55.751,-108.435,-29.745
66,7,6,45062.28,32580.24,30,367,2129.155,2053.876,NA,334.506,55.751,-71.565,36.87
67,7,7,45485.4,32051.34,36,335,2806.478,2676.046,NA,677.322,112.887,-51.34,20.225
68,7,8,45591.18,31734,42,350,3140.983,3010.552,NA,334.506,55.751,-71.565,-20.225
69,7,9,46014.3,31522.44,48,384,3614.046,3361.741,NA,473.063,78.844,-26.565,45
70,7,10,46543.2,31099.32,53,388,4291.368,3976.259,NA,677.322,135.464,-38.66,-12.095
71,8,1,47601,48341.46,0,396,0,0,NA,NA,NA,NA,NA
72,8,2,47495.22,47812.56,6,412,539.374,539.374,NA,539.374,89.896,-101.31,NA
73,8,3,47072.1,47177.88,12,281,1302.165,1278.145,NA,762.79,127.132,-123.69,-22.38
